Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,days_pollination_now,approx_no_months
Arusha,BT201804_(136650C2/136460),16NM_Huti-white_plot149_r8c20,Huti-white,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-04-07,314,10
Arusha,NM201804_(136523C2/136490),16NM_ITC1468-Kahuti_plot44_r3c2,ITC1468,2,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-04-23,298,10
Arusha,NM201805_(136316C2/136460),16NM_ITC1460-IjihuInkundu_plot292_r14c3,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-18,273, 9
Arusha,NM201805_(136441C2/136460),16NM_ITC1468-Kahuti_plot64_r4c21,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-22,269, 9
Arusha,NM201805_(136456C2/136460),16NM_Huti-white_plot188_r9c20,Huti-white,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-31,260, 9
Arusha,NM201805_(136491C2/136460),16NM_ITC1468-Kahuti_plot22_r2c21,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-22,269, 9
Arusha,NM201805_(136532C2/136460),16NM_ITC1468-Kahuti_plot20_r1c20,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-09,282, 9
Arusha,NM201805_(136532C3/136490),16NM_ITC1468-Kahuti_plot20_r1c20,ITC1468,3,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-05-03,288,10
Arusha,NM201805_(136603C2/136357),16NM_ITC1455-MchareMlelembo_plot369_r18c10,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-05-29,262, 9
Arusha,NM201805_(136667C2/136357),16NM_ITC1468-Kahuti_plot70_r4c15,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-05-22,269, 9
Arusha,NM201806_(136351C2/136460),16NM_MchareLaini_plot273_r13c21,Mchare Laini,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-06-12,248, 8
Arusha,NM201806_(136378C2/136653),16NM_ITC1468-Kahuti_plot23_r2c20,ITC1468,2,16NM_ITC0609-Pahang_plot210_r10c1,ITC0609 Pahang,2018-06-22,238, 8
Arusha,NM201806_(136380C2/136357),16NM_ITC1455-MchareMlelembo_plot364_r18c15,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-06-06,254, 8
Arusha,NM201806_(136518C2/136510),16NM_ITC1468-Kahuti_plot18_r1c18,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-06-26,234, 8
Arusha,NM201806_(136523C3/136460),16NM_ITC1468-Kahuti_plot44_r3c2,ITC1468,3,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-06-12,248, 8
Arusha,NM201806_(136567C2/136510),16NM_ITC1468-Kahuti_plot17_r1c17,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-06-26,234, 8
Arusha,NM201806_(136634C2/136599),16NM_ITC1455-MchareMlelembo_plot414_r20c7,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot126_r6c1,ITC0712,2018-06-26,234, 8
Arusha,NM201806_475,16NM_Huti-white_plot254r13c2,Huti-white,,,SH3142,2018-06-29,231, 8
Arusha,NM201806_476,16NM_Huti-white_plot419r20c2,Huti-white,,,SH3142,2018-06-29,231, 8
Arusha,NM201807_(136331C2/136460),16NM_ITC1455-MchareMlelembo_plot431_r21c11,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-07-10,220, 7
Arusha,NM201807_(136388C2/136357),16NM_ITC1468-Kahuti_plot8_r1c8,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-07-05,225, 8
Arusha,NM201807_(136534C2/136357),16NM_MchareLaini_plot231_r11c21,Mchare Laini,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-07-04,226, 8
Arusha,NM201807_(136620C2/136357),16NM_MchareLaini_plot227_r11c17,Mchare Laini,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-07-17,213, 7
