Location,Crossnumber,Repeat_Pollination_Date
Arusha,NM201904_(136610C2/161503),2019-04-16
Arusha,NM201904_(136721C2/161503),2019-04-17
Arusha,NM201904_(136721C2/161503),2019-04-18
Arusha,NM201904_(136610C2/161503),2019-04-19
Arusha,NM201904_(136717C2/161503),2019-04-24
Arusha,NM201904_(136341C2/161503),2019-04-26
Arusha,NM201904_(136470C2/161503),2019-04-29
Arusha,NM201904_(136470C2/161503),2019-04-30
Arusha,NM201904_(153109C1/161554),2019-04-30
Arusha,NM201904_(136470C2/161503),2019-05-01
Arusha,NM201904_(152559C1/161554),2019-05-01
Arusha,NM201904_(136419C2/161582),2019-05-02
Arusha,NM201904_(152559C1/161554),2019-05-02
Arusha,NM201904_(152899C1/161554),2019-05-03
Arusha,NM201905_(136561C2/161582),2019-05-07
Arusha,NM201905_(152657C1/161554),2019-05-08
Arusha,NM201905_(152657C1/161554),2019-05-09
Arusha,NM201905_(152657C1/161554),2019-05-10
Arusha,NM201903_(136537C2/161424),2019-03-21
Arusha,NM201903_(152941C1/161424),2019-03-22
Arusha,NM201903_(153098C1/161582),2019-03-25
Arusha,NM201903_(153052C1/161582),2019-03-26
Arusha,NM201903_(153098C1/161582),2019-03-27
Arusha,NM201904_(152865C1/161582),2019-04-04
Arusha,NM201904_(153016C1/161582),2019-04-03
Arusha,NM201904_(152793C1/161582),2019-04-09
Arusha,NM201904_(152793C1/161582),2019-04-10
Arusha,NM201904_(152793C1/161582),2019-04-11
Arusha,NM201904_(136306C2/136604),2019-04-12
Arusha,NM201904_(152392C1/161582),2019-04-12
Arusha,NM201904_(152793C1/161582),2019-04-15
Arusha,NM201904_(136507C3/161503),2019-04-16
Arusha,NM201904_(136293C3/161582),2019-04-17
Arusha,NM201904_(136293C3/161582),2019-04-18
Arusha,NM201904_(136455C2/161503),2019-04-19
Arusha,NM201904_(136707C2/136604),2019-04-23
Arusha,NM201904_(136584C2/136604),2019-04-24
Arusha,NM201904_(136470C2/161503),2019-04-26
Arusha,NM201904_(136419C2/161582),2019-04-30
Arusha,NM201904_(152575C1/161503),2019-04-30
Arusha,NM201904_(136419C2/161582),2019-05-01
Arusha,NM201904_(152899C1/161554),2019-05-02
Arusha,NM201904_(152681C1/161554),2019-05-03
Arusha,NM201905_(152599C1/161446),2019-05-13
Arusha,NM201905_(152776C1/161446),2019-05-14
Arusha,NM201903_(152435C1/161424),2019-03-20
Arusha,NM201903_(152486C1/161424),2019-03-21
Arusha,NM201903_(152645C1/161582),2019-03-22
Arusha,NM201903_(152986C1/161582),2019-03-26
