FemalePlotName,Crossnumber_1,Crossnumber_2,number_crosses
16NM_ITC1468-Kahuti_plot82_r4c3,NM201810_(136573C2/136510),,1
16NM_ITC1468-Kahuti_plot69_r4c16,NM201810_(136582C2/136460),NM201902_(136582C3/161477),2
16NM_Huti-white_plot187_r9c19,NM201810_(136588C2/136460),,1
16NM_ITC1455-MchareMlelembo_plot404_r20c17,NM201810_(136589C2/136706),,1
16NM_MchareLaini_plot216_r11c6,NM201810_(136609C2/161424),,1
16NM_ITC1468-Kahuti_plot72_r4c13,NM201810_(136623C2/136510),,1
16NM_ITC1468-Kahuti_plot54_r3c12,NM201810_(136663C2/136460),NM201905_(136663C3/161582),2
16NM_ITC1460-IjihuInkundu_plot322_r16c15,NM201810_(136668C2/136295),,1
16NM_ITC1460-IjihuInkundu_plot353_r17c17,NM201810_(136669C2/136357),,1
16NM_ITC1460-IjihuInkundu_plot310_r15c16,NM201810_(136679C2/136653),,1
16NM_ITC1460-IjihuInkundu_plot283_r14c12,NM201810_(136680C2/136295),,1
16NM_Huti-white_plot130_r7c4,NM201810_(136694C2/136510),,1
16NM_ITC1460-IjihuInkundu_plot354_r17c18,NM201810_(136700C2/136357),,1
16NM_ITC1468-Kahuti_plot13_r1c13,NM201810_(136703C2/136510),,1
16NM_ITC1455-MchareMlelembo_plot408_r20c13,NM201810_(136716C2/161548),,1
16NM_ITC1468-Kahuti_plot32_r2c11,NM201811_(136284C2/136357),,1
16NM_ITC1468-Kahuti_plot71_r4c14,NM201811_(136289C2/136295),,1
16NM_MchareLaini_plot259_r13c7,NM201811_(136298C2/136295),,1
16NM_ITC1468-Kahuti_plot62_r3c20,NM201811_(136340C2/136357),,1
16NM_Huti-white_plot129_r7c3,NM201811_(136346C2/136357),,1
16NM_MchareLaini_plot249_r12c4,NM201811_(136354C2/136295),NM201903_(136354C3/161424),2
16NM_Huti-white_plot140_r7c14,NM201811_(136367C2/136357),,1
16NM_ITC1460-IjihuInkundu_plot335_r16c2,NM201811_(136390C2/136653),,1
16NM_ITC1468-Kahuti_plot21_r1c21,NM201811_(136397C2/136653),,1
16NM_ITC1460-IjihuInkundu_plot351_r17c15,NM201811_(136406C2/136706),,1
16NM_MchareLaini_plot266_r13c14,NM201811_(136429C2/161503),,1
16NM_Huti-white_plot107_r6c20,NM201811_(136433C2/136653),,1
16NM_ITC1468-Kahuti_plot87_r5c3,NM201811_(136434C2/136357),,1
16NM_ITC1460-IjihuInkundu_plot308_r15c14,NM201811_(136476C2/136392),,1
16NM_Huti-white_plot122_r6c5,NM201811_(136484C2/136357),,1
16NM_MchareLaini_plot235_r12c18,NM201811_(136495C2/136510),,1
16NM_ITC1468-Kahuti_plot27_r2c16,NM201811_(136524C2/161584),,1
16NM_MchareLaini_plot190_r10c21,NM201811_(136527C2/136510),,1
