.id,Location,Crossnumber,Repeat_Pollination_Date
1,Arusha,NM201810_(136316C2/136460),2018-10-12
1,Arusha,NM201810_(136319C2/136357),2018-10-22
1,Arusha,NM201810_(136325C2/136460),2018-10-30
1,Arusha,NM201810_(136442C2/136510),2018-10-03
1,Arusha,NM201810_(136451C2/136510),2018-10-05
1,Arusha,NM201810_(136464C2/136295),2018-10-19
1,Arusha,NM201810_(136473C2/136460),2018-10-12
1,Arusha,NM201810_(136482C2/136510),2018-10-31
1,Arusha,NM201810_(136493C2/136460),2018-10-05
1,Arusha,NM201810_(136498C2/136460),2018-10-12
1,Arusha,NM201810_(136507C2/161548),2018-10-12
1,Arusha,NM201810_(136516C2/136460),2018-10-12
1,Arusha,NM201810_(136545C2/136460),2018-10-23
1,Arusha,NM201810_(136582C2/136460),2018-10-08
1,Arusha,NM201810_(136588C2/136460),2018-10-15
1,Arusha,NM201810_(136589C2/136706),2018-11-01
1,Arusha,NM201810_(136663C2/136460),2018-10-08
1,Arusha,NM201810_(136668C2/136295),2018-10-25
1,Arusha,NM201810_(136669C2/136357),2018-10-22
1,Arusha,NM201810_(136679C2/136653),2018-10-25
1,Arusha,NM201810_(136680C2/136295),2018-10-22
1,Arusha,NM201810_(136694C2/136510),2018-10-29
1,Arusha,NM201810_(136700C2/136357),2018-10-22
1,Arusha,NM201810_(136703C2/136510),2018-10-02
1,Arusha,NM201810_(136716C2/161548),2018-10-12
1,Arusha,NM201811_(136284C2/136357),2018-11-07
1,Arusha,NM201811_(136289C2/136295),2018-11-08
1,Arusha,NM201811_(136298C2/136295),2018-11-12
1,Arusha,NM201811_(136340C2/136357),2018-11-24
1,Arusha,NM201811_(136346C2/136357),2018-11-09
1,Arusha,NM201811_(136354C2/136295),2018-11-12
1,Arusha,NM201811_(136367C2/136357),2018-11-08
1,Arusha,NM201811_(136381C3/136283),2018-11-12
1,Arusha,NM201811_(136390C2/136653),2018-11-15
1,Arusha,NM201811_(136397C2/136653),2018-11-19
1,Arusha,NM201811_(136406C2/136706),2018-11-23
1,Arusha,NM201811_(136429C2/161503),2018-11-30
1,Arusha,NM201811_(136433C2/136653),2018-11-13
1,Arusha,NM201811_(136434C2/136357),2018-11-09
1,Arusha,NM201811_(136476C2/136392),2018-11-22
1,Arusha,NM201811_(136484C2/136357),2018-11-26
1,Arusha,NM201811_(136524C2/161584),2018-11-28
1,Arusha,NM201811_(136527C2/136510),2018-11-07
1,Arusha,NM201811_(136529C2/136510),2018-11-15
1,Arusha,NM201811_(136554C2/136460),2018-11-23
1,Arusha,NM201811_(136581C2/136460),2018-11-07
1,Arusha,NM201811_(136627C2/136460),2018-11-08
1,Arusha,NM201811_(136628C2/136460),2018-11-06
1,Arusha,NM201811_(136659C2/161503),2018-11-30
1,Arusha,NM201811_(136662C2/136706),2018-11-15
1,Arusha,NM201811_(136704C2/136510),2018-11-26
1,Arusha,NM201811_(136712C2/136295),2018-11-08
1,Arusha,NM201811_(136719C2/136460),2018-11-08
1,Arusha,NM201811_(136722C2/136357),2018-11-08
1,Arusha,NM201811_(152445C1/161584),2018-11-30
1,Arusha,NM201811_(152936C1/161503),2018-11-13
1,Arusha,NM201812_(136304C2/136510),2019-01-03
1,Arusha,NM201812_(136363C2/161503),2018-12-14
1,Arusha,NM201812_(136365C2/161584),2018-12-21
1,Arusha,NM201812_(136375C2/161584),2018-12-10
1,Arusha,NM201812_(136393C2/161503),2018-12-10
1,Arusha,NM201812_(136402C2/161582),2018-12-06
1,Arusha,NM201812_(136447C2/161503),2018-12-07
1,Arusha,NM201812_(136501C2/161584),2018-12-03
1,Arusha,NM201812_(136530C2/136706),2018-12-18
1,Arusha,NM201812_(136536C2/136653),2018-12-12
1,Arusha,NM201812_(136560C2/136706),2018-12-19
1,Arusha,NM201812_(136598C2/161503),2018-12-14
1,Arusha,NM201812_(136644C2/161503),2018-12-18
1,Arusha,NM201812_(136652C2/161584),2018-12-21
1,Arusha,NM201812_(136681C2/161584),2018-12-07
1,Arusha,NM201812_(152405C1/161554),2018-12-17
1,Arusha,NM201812_(152650C1/161503),2018-12-24
1,Arusha,NM201812_(153012C1/161584),2018-12-14
1,Arusha,NM201812_(153130C1/161584),2018-12-03
1,Arusha,NM201901_(136290C2/161584),2019-01-11
1,Arusha,NM201901_(136299C2/161584),2019-01-15
1,Arusha,NM201901_(136310C2/136706),2019-01-09
1,Arusha,NM201901_(136332C2/136295),2019-01-09
1,Arusha,NM201901_(136353C2/161503),2019-01-25
1,Arusha,NM201901_(136382C2/161503),2019-01-25
1,Arusha,NM201901_(136408C2/161503),2019-01-25
1,Arusha,NM201901_(136425C2/161503),2019-01-22
1,Arusha,NM201901_(136426C2/161584),2019-01-08
1,Arusha,NM201901_(136445C2/161584),2019-02-05
1,Arusha,NM201901_(136481C2/161503),2019-01-24
1,Arusha,NM201901_(136502C2/161503),2019-01-28
1,Arusha,NM201901_(136578C2/161503),2019-01-15
1,Arusha,NM201901_(136586C2/161584),2019-01-17
1,Arusha,NM201901_(136597C2/136392),2019-01-03
1,Arusha,NM201901_(136602C2/161477),2019-01-04
1,Arusha,NM201901_(136672C2/161503),2019-01-23
1,Arusha,NM201901_(136698C2/161506),2019-01-28
1,Arusha,NM201901_(152720C1/161503),2019-01-31
1,Arusha,NM201901_(152744C1/161506),2019-01-28
1,Arusha,NM201901_(152851C1/161564),2019-01-28
1,Arusha,NM201901_(152942C1/161461),2019-01-28
1,Arusha,NM201901_(153009C1/161584),2019-01-25
1,Arusha,NM201901_(153017C1/161564),2019-01-28
1,Arusha,NM201901_(153020C1/161548),2019-01-29
1,Arusha,NM201901_(153119C1/161506),2019-01-28
1,Arusha,NM201901_(153120C1/161503),2019-01-17
1,Arusha,NM201901_(153162C1/161503),2019-01-22
1,Arusha,NM201902_(136320C2/161541),2019-02-25
1,Arusha,NM201902_(136350C2/161541),2019-02-22
1,Arusha,NM201902_(136478C3/161541),2019-02-25
1,Arusha,NM201902_(136485C2/161503),2019-02-12
1,Arusha,NM201902_(136499C2/161584),2019-02-12
1,Arusha,NM201902_(136596C2/161582),2019-02-21
1,Arusha,NM201902_(136635C2/136677),2019-03-01
1,Arusha,NM201902_(136705C2/161582),2019-02-19
1,Arusha,NM201902_(136714C2/161582),2019-02-19
1,Arusha,NM201902_(152370C1/161582),2019-02-20
1,Arusha,NM201902_(152411C1/161582),2019-02-20
1,Arusha,NM201902_(152416C1/161582),2019-02-19
1,Arusha,NM201902_(152427C1/161477),2019-02-20
1,Arusha,NM201902_(152443C1/161477),2019-02-26
1,Arusha,NM201902_(152457C1/161477),2019-02-19
1,Arusha,NM201902_(152459C1/161582),2019-02-19
1,Arusha,NM201902_(152491C1/161503),2019-02-05
1,Arusha,NM201902_(152499C1/161582),2019-02-15
1,Arusha,NM201902_(152513C1/161582),2019-02-14
1,Arusha,NM201902_(152530C1/161477),2019-03-01
1,Arusha,NM201902_(152544C1/161541),2019-03-01
1,Arusha,NM201902_(152694C1/161477),2019-03-01
1,Arusha,NM201902_(152708C1/136604),2019-02-28
1,Arusha,NM201902_(152727C1/161584),2019-02-07
1,Arusha,NM201902_(152746C1/161541),2019-02-20
1,Arusha,NM201902_(152754C1/161477),2019-03-01
1,Arusha,NM201902_(152756C1/136677),2019-03-01
1,Arusha,NM201902_(152798C1/161477),2019-03-01
1,Arusha,NM201902_(152842C1/161541),2019-02-20
1,Arusha,NM201902_(152850C1/161477),2019-02-14
1,Arusha,NM201902_(152854C1/161541),2019-02-19
1,Arusha,NM201902_(152862C1/161541),2019-02-27
1,Arusha,NM201902_(152961C2/136653),2019-02-27
1,Arusha,NM201902_(152976C1/161582),2019-02-20
1,Arusha,NM201902_(152995C1/161503),2019-02-05
1,Arusha,NM201902_(153028C1/161477),2019-02-26
1,Arusha,NM201902_(153088C1/161477),2019-02-25
1,Arusha,NM201902_(153145C1/161541),2019-03-01
