PlotName,PlotID,TrialName
16NM_ITC1468-Kahuti_plot24_r2c19,136365,2016 NM_Pollination block
16NM_Huti-white_plot178_r9c10,136364,2016 NM_Pollination block
16NM_Huti-white_plot140_r7c14,136367,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot285_r14c10,136366,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot104_r5c20,136369,2016 NM_Pollination block
16NM_Huti-white_plot124_r6c3,136368,2016 NM_Pollination block
16NM_Huti-white_plot131_r7c5,136370,2016 NM_Pollination block
16NM_Huti-white_plot181_r9c13,136372,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot412_r20c9,136371,2016 NM_Pollination block
16NM_MchareLaini_plot234_r12c19,136374,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot385_r19c7,136373,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot307_r15c13,136376,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot314_r15c20,136375,2016 NM_Pollination block
16NM_Huti-white_plot154_r8c15,136377,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot23_r2c20,136378,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot96_r5c12,136381,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot364_r18c15,136380,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot388_r19c10,136379,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot355_r17c19,136382,2016 NM_Pollination block
16NM_Huti-white_plot159_r8c10,136383,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot326_r16c11,136384,2016 NM_Pollination block
16NM_Huti-white_plot160_r8c9,136385,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot47_r3c5,136386,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot8_r1c8,136388,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot367_r18c12,136387,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot98_r5c14,136389,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot37_r2c6,136391,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot335_r16c2,136390,2016 NM_Pollination block
16NM_ITC0712-AAcvRose_plot43_r3c1,136392,2016 NM_Pollination block
16NM_MchareLaini_plot270_r13c18,136393,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot5_r1c5,136395,2016 NM_Pollination block
16NM_MchareLaini_plot195_r10c16,136394,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot391_r19c13,136396,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot21_r1c21,136397,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot288_r14c7,136398,2016 NM_Pollination block
16NM_MchareLaini_plot193_r10c18,136399,2016 NM_Pollination block
16NM_Huti-white_plot119_r6c8,136400,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot324_r16c13,136401,2016 NM_Pollination block
16NM_Huti-white_plot180_r9c12,136402,2016 NM_Pollination block
16NM_MchareLaini_plot244_r12c9,136403,2016 NM_Pollination block
16NM_Huti-white_plot162_r8c7,136404,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot433_r21c13,136405,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot351_r17c15,136406,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot410_r20c11,136407,2016 NM_Pollination block
16NM_MchareLaini_plot246_r12c7,136408,2016 NM_Pollination block
16NM_MchareLaini_plot240_r12c13,136409,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot74_r4c11,136410,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot334_r16c3,136411,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot440_r21c20,136412,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot61_r3c19,136413,2016 NM_Pollination block
16NM_MchareLaini_plot230_r11c20,136414,2016 NM_Pollination block
16NM_Huti-white_plot115_r6c12,136416,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot299_r15c5,136415,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot377_r18c2,136418,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot430_r21c10,136417,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot103_r5c19,136419,2016 NM_Pollination block
16NM_MchareLaini_plot201_r10c10,136420,2016 NM_Pollination block
16NM_ITC0766-Paliama_plot379_r19c1,136421,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot415_r20c6,136423,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot423_r21c3,136422,2016 NM_Pollination block
16NM_Huti-white_plot113_r6c14,136424,2016 NM_Pollination block
16NM_Huti-white_plot152_r8c17,136425,2016 NM_Pollination block
16NM_Huti-white_plot189_r9c21,136426,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot342_r17c6,136427,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot91_r5c7,136430,2016 NM_Pollination block
16NM_MchareLaini_plot266_r13c14,136429,2016 NM_Pollination block
16NM_ITC0299-Guyod_plot295_r15c1,136428,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot341_r17c5,136431,2016 NM_Pollination block
16NM_Huti-white_plot107_r6c20,136433,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot438_r21c18,136432,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot87_r5c3,136434,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot77_r4c8,136436,2016 NM_Pollination block
16NM_Huti-white_plot174_r9c6,136435,2016 NM_Pollination block
16NM_MchareLaini_plot214_r11c4,136437,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot422_r21c2,136438,2016 NM_Pollination block
16NM_MchareLaini_plot221_r11c11,136439,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot39_r2c4,136440,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot64_r4c21,136441,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot97_r5c13,136442,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot41_r2c2,136445,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot12_r1c12,136444,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot417_r20c4,136443,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot52_r3c10,136446,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot302_r15c8,136448,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot312_r15c18,136447,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot45_r3c3,136450,2016 NM_Pollination block
16NM_MchareLaini_plot229_r11c19,136449,2016 NM_Pollination block
16NM_MchareLaini_plot260_r13c8,136452,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot405_r20c16,136451,2016 NM_Pollination block
16NM_MchareLaini_plot237_r12c16,136453,2016 NM_Pollination block
