Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Number_Sent_for_Embryo_Rescue,Early_Germination_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
SE201905_(153230C1/155852),BTracT,Plantain_PB_Agbagba_french_reversion_R36_C3_B7_P110,Agbagba french reversion,1,diploid_PB1297-3_P138_r2_c9,1297-3,2019-05-02,,,,,,,,,,
SE201905_(153497C1/155909),BTracT,Plantain_PB_Agbagba_french_reversion_R36_C4_B7_P147,Agbagba french reversion,1,diploid_PB25291-1_R10P13_P99_r14_c6,25291-1 R10P13,2019-05-01,,,,,,,,,,
