FemalePlotName,Crossnumber_1
Plantain_PB_Agbagba_french_reversion_R36_C4_B7_P147,SE201905_(153497C1/155909)
Plantain_PB_Agbagba_french_reversion_R36_C3_B7_P110,SE201905_(153230C1/155852)
