location,crossnumber,motherAccessionName,fatherAccessionName,firstpollination_date,harvesting_date,days_to_maturity,seed_extraction_date,days_harvest_extraction,total_seeds,good_seeds,badseeds,number_rescued,rescue_date,days_extraction_rescue,germination_after_8weeks_date,actively_germination_after_8weeks,contamination
Arusha,T1635,Kisukari Mchare,cv-Rose,2015-05-22,2015-11-04,166,2015-11-12,8,0,,,,,,,,
Arusha,T1637,Waimara,Malaccensis,2015-05-25,2015-10-23,151,2015-11-06,14,28,17,11,8,2015-11-09,,2016-01-08,0,
Arusha,T1639,IITA 02145/1320,Zebrina GF,2015-05-25,2016-02-11,262,2016-02-19,8,4,4,0,3,2016-02-24,,2016-04-24,2,0
Arusha,T1641,IITA 02145/1320,cv-Rose,2015-05-27,2016-03-10,288,2016-03-17,7,0,,,,,,,,
Arusha,T1642,IITA 02145/1320,cv-Rose,2015-05-28,2016-02-11,259,2016-02-19,8,11,5,6,3,2016-02-24,,2016-04-24,2,0
Arusha,T1643,cv-Rose,Paliama,2015-05-28,2015-11-04,160,2015-11-12,8,0,,,,,,,,
Arusha,T1644,IITA 02145/1320,Paliama,2015-05-28,2016-03-14,291,2016-03-21,7,0,,,,,,,,
Arusha,T1645,Yenai,Truncata,2015-05-29,2015-10-12,136,2015-10-20,8,0,,,,,,,,
Arusha,T1646,TMB2x 9128-3,Paliama,2015-06-01,2015-11-11,163,2015-11-19,8,0,,,,,,,,
Arusha,T1647,IITA 02145/1320,cv-Rose,2015-06-03,2016-03-03,274,2016-03-10,7,6,3,3,3,2016-03-11,,2016-05-10,2,
Arusha,T1648,Ilalyi,Borneo,2015-06-03,2015-10-23,142,2015-11-03,11,2,2,0,1,2015-11-04,,2016-01-03,0,
Arusha,T1649,IITA 02145/1320,cv-Rose,2015-06-05,2016-03-10,279,2016-03-17,7,0,,,,,,,,
Arusha,T1650,Nshonowa,Borneo,2015-06-05,2015-10-23,140,2015-11-06,14,0,,,,,,,,
Arusha,T1651,Nakitengwa,Paliama,2015-06-09,2015-11-25,169,2015-12-07,12,0,,,,,,,,
