Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201811_(163370C1/132610),Kazirakwe_16_Phase3_R29C2,ITC1355,1,17-8075-7_R1C7_plot7,8075-7,2018-11-05,,,,,,,,,,,,
Sendusu,SE201811_(163373C1/132425),Enzirabahima_16_Phase3_R27C7,ITC1354,1,17-9128-3_R5C1_plot61,9128-3,2018-11-02,,,,,,,,,,,,
Sendusu,SE201811_(163402C1/132522),Tereza_16_Phase3_R18C1,Tereza,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-11-27,,,,,,,,,,,,
Sendusu,SE201811_(163404C1/132348),Entukura_16_Phase3_R4C4,Entukura,1,17-7197-2_R11C3_plot153,7197-2,2018-11-12,,,,,,,,,,,,
Sendusu,SE201811_(163407C1/132348),Enzirabahima_16_Phase3_R26C4,ITC1354,1,17-7197-2_R11C3_plot153,7197-2,2018-11-08,,,,,,,,,,,,
Sendusu,SE201812_(162384C1/132325),29275S-1_14_R8P3,29275S-1,1,17-10969s-1_R22C1_plot316,10969S-1,2018-12-12,,,,,,,,,,,,
Sendusu,SE201812_(162398C1/132316),29364S-2_14_R12P2,29364S-2,1,17-8075-7_R2C1_plot16,8075-7,2018-12-19,,,,,,,,,,,,
Sendusu,SE201812_(162428C1/132354),29275S-1_14_R8P4,29275S-1,1,17-10969s-1_R23C10_plot340,10969S-1,2018-12-17,,,,,,,,,,,,
Sendusu,SE201812_(162435C1/132708),29364S-2_14_R12P3,29364S-2,1,17-7197-2_R11C14_plot164,7197-2,2018-12-27,,,,,,,,,,,,
Sendusu,SE201812_(162438C1/132631),25974S-17_14_R5P8,25974S-17,1,17-7197-2_R10C7_plot142,7197-2,2018-12-19,,,,,,,,,,,,
Sendusu,SE201812_(162484C1/132332),29275S-4_14_R2P3,29275S-4,1,17-8075-7_R1C11_plot11,8075-7,2018-12-28,,,,,,,,,,,,
Sendusu,SE201812_(162486C1/132608),29275S-4_14_R1P6,29275S-4,1,17-8075-7_R3C3_plot33,8075-7,2018-12-07,,,,,,,,,,,,
Sendusu,SE201812_(162494C1/132684),29364S-2_14_R12P1,29364S-2,1,17-7197-2_R11C5_plot155,7197-2,2018-12-13,,,,,,,,,,,,
Sendusu,SE201812_(162500C1/132625),Entukura_14_Phase1_R5C14,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2018-12-20,,,,,,,,,,,,
Sendusu,SE201812_(162526C1/132684),Entukura_14_Phase1_R4C11,Entukura,1,17-7197-2_R11C5_plot155,7197-2,2018-12-03,,,,,,,,,,,,
Sendusu,SE201812_(162577C1/132624),Entukura_14_Phase1_R6C13,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-12-22,,,,,,,,,,,,
Sendusu,SE201812_(162623C1/132522),Nakyetengu_14_Phase1_R8C2,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-04,,,,,,,,,,,,
Sendusu,SE201812_(162654C1/132379),Nakasabira_14_Phase1_R33C3,Nakasabira,1,17-9128-3_R4C4_plot49,9128-3,2018-12-24,,,,,,,,,,,,
Sendusu,SE201812_(162681C1/132316),Entukura_14_Phase1_R5C7,Entukura,1,17-8075-7_R2C1_plot16,8075-7,2018-12-04,,,,,,,,,,,,
Sendusu,SE201812_(162682C1/132707),Enzirabahima_14_Phase1_R25C16,ITC1354,1,17-8075-7_R3C4_plot34,8075-7,2018-12-07,,,,,,,,,,,,
Sendusu,SE201812_(162742C1/132316),Nfuuka_14_Phase1_R13C1,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2018-12-24,,,,,,,,,,,,
Sendusu,SE201812_(162745C1/132348),Nfuuka_14_Phase1_R15C7,Nfuuka,1,17-7197-2_R11C3_plot153,7197-2,2018-12-26,,,,,,,,,,,,
Sendusu,SE201812_(162763C1/132684),Nfuuka_14_Phase1_R14C11,Nfuuka,1,17-7197-2_R11C5_plot155,7197-2,2018-12-12,,,,,,,,,,,,
Sendusu,SE201812_(162840C1/132522),Nakyetengu_14_Phase1_R9C2,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-13,,,,,,,,,,,,
