Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201901_(163145C1/132624),Entukura_14_Phase2_R6C2,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2019-01-18,,,,,,,,,,,,
Sendusu,SE201901_(163161C1/132624),Entukura_14_Phase2_R4C9,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-31,,,,,,,,,,,,
Sendusu,SE201901_(163203C1/132696),Entukura_16_Phase3_R5C1,Entukura,1,17-8075-7_R1C3_plot3,8075-7,2019-01-19,,,,,,,,,,,,
Sendusu,SE201901_(163237C1/132548),Kazirakwe_16_Phase3_R28C6,ITC1355,1,17-9128-3_R5C5_plot65,9128-3,2019-01-08,,,,,,,,,,,,
Sendusu,SE201901_(163254C1/132441),Nakyetengu_16_Phase3_R8C9,IITA-Nakyetengu,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-23,,,,,,,,,,,,
Sendusu,SE201901_(163293C1/132640),Entukura_16_Phase3_R6C6,Entukura,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2019-01-14,,,,,,,,,,,,
Sendusu,SE201902_(162368C1/132466),25974S-17_14_R4P1,25974S-17,1,17-8075-7_R1C1_plot1,8075-7,2019-02-14,,,,,,,,,,,,
Sendusu,SE201902_(162371C1/132494),29275S-1_14_R8P8,29275S-1,1,17-7197-2_R11C8_plot158,7197-2,2019-02-14,,,,,,,,,,,,
Sendusu,SE201902_(162421C1/132608),29275S-1_14_R7P3,29275S-1,1,17-8075-7_R3C3_plot33,8075-7,2019-02-14,,,,,,,,,,,,
Sendusu,SE201902_(162450C1/132447),25974S-17_14_R5P1,25974S-17,1,17-8075-7_R3C9_plot39,8075-7,2019-02-08,,,,,,,,,,,,
Sendusu,SE201902_(162565C1/132361),Enzirabahima_14_Phase1_R25C3,ITC1354,1,17-7197-2_R10C4_plot139,7197-2,2019-02-12,,,,,,,,,,,,
Sendusu,SE201902_(162579C1/132594),Entukura_14_Phase1_R5C6,Entukura,1,17-5265-1_R9C6_plot126,TMB2X5265-1,2019-02-12,,,,,,,,,,,,
Sendusu,SE201902_(162592C1/132708),Entukura_14_Phase1_R5C5,Entukura,1,17-7197-2_R11C14_plot164,7197-2,2019-02-09,,,,,,,,,,,,
Sendusu,SE201902_(162601C1/132441),Kazirakwe_14_Phase1_R30C7,ITC1355,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2019-02-14,,,,,,,,,,,,
Sendusu,SE201902_(162657C1/132386),Entukura_14_Phase1_R6C16,Entukura,1,17-5265-1_R9C11_plot131,TMB2X5265-1,2019-02-13,,,,,,,,,,,,
Sendusu,SE201902_(162707C1/132507),Enzirabahima_14_Phase1_R26C13,ITC1354,1,17-9128-3_R4C6_plot51,9128-3,2019-02-07,,,,,,,,,,,,
Sendusu,SE201902_(162713C1/132452),Entukura_14_Phase1_R6C15,Entukura,1,17-9128-3_R4C7_plot52,9128-3,2019-02-09,,,,,,,,,,,,
Sendusu,SE201902_(162720C1/132374),Nfuuka_14_Phase1_R14C6,Nfuuka,1,17-SH3217_R13C4_plot184,SH3217,2019-02-09,,,,,,,,,,,,
Sendusu,SE201902_(162730C1/132470),Nfuuka_14_Phase1_R13C17,Nfuuka,1,17-7197-2_R10C9_plot144,7197-2,2019-02-12,,,,,,,,,,,,
Sendusu,SE201902_(162741C1/132612),Entukura_14_Phase1_R5C2,Entukura,1,17-8075-7_R2C11_plot26,8075-7,2019-02-12,,,,,,,,,,,,
Sendusu,SE201902_(162782C1/132393),Nfuuka_14_Phase1_R15C3,Nfuuka,1,17-8075-7_R2C8_plot23,8075-7,2019-02-09,,,,,,,,,,,,
Sendusu,SE201902_(162888C1/132393),Nakyetengu_14_Phase1_R8C3,IITA-Nakyetengu,1,17-8075-7_R2C8_plot23,8075-7,2019-02-12,,,,,,,,,,,,
Sendusu,SE201902_(162898C1/132624),Enzirabahima_14_Phase1_R25C8,ITC1354,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2019-02-07,,,,,,,,,,,,
Sendusu,SE201902_(162941C1/132680),Entukura_14_Phase2_R5C6,Entukura,1,17-SH3362_R19C8_plot278,SH3362,2019-02-11,,,,,,,,,,,,
Sendusu,SE201902_(162977C1/132452),Nakyetengu_14_Phase2_R9C8,IITA-Nakyetengu,1,17-9128-3_R4C7_plot52,9128-3,2019-02-11,,,,,,,,,,,,
Sendusu,SE201902_(163060C1/132680),Enzirabahima_14_Phase2_R26C2,ITC1354,1,17-SH3362_R19C8_plot278,SH3362,2019-02-09,,,,,,,,,,,,
Sendusu,SE201902_(163092C1/132447),Nakyetengu_14_Phase2_R8C10,IITA-Nakyetengu,1,17-8075-7_R3C9_plot39,8075-7,2019-02-12,,,,,,,,,,,,
Sendusu,SE201902_(163152C1/132512),Nfuuka_14_Phase2_R15C5,Nfuuka,1,17-7197-2_R12C4_plot169,7197-2,2019-02-11,,,,,,,,,,,,
Sendusu,SE201902_(163170C1/132355),Enzirabahima_14_Phase2_R27C1,ITC1354,1,17-9128-3_R6C1_plot76,9128-3,2019-02-13,,,,,,,,,,,,
Sendusu,SE201902_(163190C1/132708),Tereza_16_Phase3_R16C5,Tereza,1,17-7197-2_R11C14_plot164,7197-2,2019-02-07,,,,,,,,,,,,
Sendusu,SE201902_(163233C1/132641),Kabucuragye_16_Phase3_R20C9,Kabucuragye,1,17-7197-2_R10C14_plot149,7197-2,2019-02-14,,,,,,,,,,,,
Sendusu,SE201902_(163238C1/132696),Tereza_16_Phase3_R17C10,Tereza,1,17-8075-7_R1C3_plot3,8075-7,2019-02-11,,,,,,,,,,,,
Sendusu,SE201902_(163249C1/132594),Tereza_16_Phase3_R18C2,Tereza,1,17-5265-1_R9C6_plot126,TMB2X5265-1,2019-02-07,,,,,,,,,,,,
Sendusu,SE201902_(163289C1/132383),Entukura_16_Phase3_R6C1,Entukura,1,17-7197-2_R10C5_plot140,7197-2,2019-02-11,,,,,,,,,,,,
Sendusu,SE201902_(163323C1/132361),Tereza_16_Phase3_R17C7,Tereza,1,17-7197-2_R10C4_plot139,7197-2,2019-02-08,,,,,,,,,,,,
Arusha,T1476,,IITA 02145/1320,,,Paliama,2015-01-07,2015-12-15,2015-12-22,0,,,,,,,,342,7
Arusha,T1497,,Calcutta 4,,,Zebrina GF,2015-01-23,2015-12-02,2015-12-10,0,,,,,,,,313,8
Arusha,T1508,,IITA 02145/1320,,,Guyod,2015-02-06,2015-12-02,2015-12-10,0,,,,,,,,299,8
Arusha,T1512,,IITA 02145/1320,,,Guyod,2015-02-09,2016-02-10,2016-02-19,0,,,,,,,,366,9
Arusha,T1515,,Calcutta 4,,,Zebrina GF,2015-02-12,2015-11-04,2015-11-12,0,,,,,,,,265,8
Arusha,T1534,,IITA 02145/1320,,,Paliama,2015-02-27,2015-12-07,2015-12-14,0,,,,,,,,283,7
Arusha,T1535,,IITA 02145/1320,,,Guyod,2015-03-02,2015-12-15,2015-12-22,0,,,,,,,,288,7
Arusha,T1542,,Pisang Pahang,,,Guyod,2015-03-06,2015-09-24,2015-10-02,2,2,2,2015-10-02,,,2015-12-01,0,202,8
Arusha,T1546,,IITA 02145/1320,,,Guyod,2015-03-09,2015-12-07,2015-12-14,0,,,,,,,,273,7
Arusha,T1549,,IITA 02145/1320,,,Paliama,2015-03-14,2015-12-15,2015-12-22,0,,,,,,,,276,7
Arusha,T1550,,Huti-white,,,cv-Rose,2015-03-16,2015-10-17,2015-10-25,0,,,,,,,,215,8
Arusha,T1557,,IITA 02145/1320,,,Guyod,2015-03-19,2016-01-11,2016-01-20,0,,,,,,,,298,9
Arusha,T1561,,Pisang Pahang,,,Guyod,2015-03-21,2015-10-12,2015-10-20,7,4,1,2015-10-22,,,2015-12-21,0,205,8
Arusha,T1562,,IITA 02145/1320,,,Paliama,2015-03-23,2016-01-11,2016-01-20,19,19,14,2016-01-22,,,2016-03-22,2,294,9
Arusha,T1563,,IITA 02145/1320,,,Guyod,2015-03-23,2015-12-07,2015-12-14,0,,,,,,,,259,7
Arusha,T1566,,IITA 02145/1320,,,Guyod,2015-03-27,2016-01-13,2016-01-26,0,,,,,,,,292,13
Arusha,T1569,,IITA 02145/1320,,,Paliama,2015-03-30,2016-01-11,2016-01-20,16,16,15,2016-01-22,,,2016-03-22,5,287,9
Arusha,T1570,,IITA 02145/1320,,,Guyod,2015-03-30,2016-02-10,2016-02-18,0,,,,,,,,317,8
Arusha,T1571,,IITA 02145/1320,,,Guyod,2015-03-30,2016-02-10,2016-02-18,0,,,,,,,,317,8
Arusha,T1573,,IITA 02145/1320,,,Paliama,2015-04-01,2016-02-04,2016-02-11,0,,,,,,,,309,7
Arusha,T1576,,Guyod,,,cv-Rose,2015-04-06,2015-09-24,2015-10-02,7,7,2,2015-10-02,,,2015-12-01,1,171,8
Arusha,T1577,,IITA 02145/1320,,,Paliama,2015-04-06,2016-01-20,2016-02-01,10,10,6,2016-03-01,,,2016-03-03,6,289,12
Arusha,T1578,,Kisukari Mchare,,,Calcutta 4,2015-04-09,2015-10-12,2015-10-20,0,,,,,,,,186,8
Arusha,T1581,,SH3142,,,Paliama,2015-04-13,2015-10-23,2015-11-06,1000,30,2,2015-11-09,,,2016-01-08,0,193,14
Arusha,T1584,,Nakitengwa,,,Paliama,2015-04-15,2015-10-12,2015-10-20,0,,,,,,,,180,8
Arusha,T1588,,IITA 02145/1320,,,cv-Rose,2015-04-22,2016-01-11,2016-01-20,58,30,29,2016-01-22,,,2016-03-22,3,264,9
Arusha,T1589,,IITA 02145/1320,,,Zebrina GF,2015-04-22,2016-01-13,2016-01-26,0,,,,,,,,266,13
Arusha,T1591,,IITA 02145/1320,,,Zebrina GF,2015-04-23,2016-02-10,2016-02-19,0,,,,,,,,293,9
Arusha,T1593,,Pisang Pahang,,,Guyod,2015-04-24,2016-01-11,2016-01-20,0,,,,,,,,262,9
Arusha,T1598,,IITA 02145/1320,,,cv-Rose,2015-04-27,2016-01-11,2016-01-20,165,35,34,2016-01-22,,,2016-03-22,19,259,9
Arusha,T1599,,IITA 02145/1320,,,Zebrina GF,2015-04-27,2016-03-10,2016-03-17,0,,,,,,,,318,7
Arusha,T1600,,Kisukari Mchare,,,SH3142,2015-04-27,2015-11-04,2015-11-12,0,,,,,,,,191,8
Arusha,T1601,,Guyod,,,SH3142,2015-04-27,2015-10-23,2015-11-05,22,14,0,2015-11-09,,,2016-01-08,0,179,13
Arusha,T1602,,Nakitengwa,,,Guyod,2015-04-27,2015-10-23,2015-11-03,0,,,,,,,,179,11
Arusha,T1605,,IITA 02145/1320,,,cv-Rose,2015-04-28,2016-01-26,2016-02-01,5,5,3,2016-02-01,,,2016-04-01,2,273,6
Arusha,T1606,,Calcutta 4,,,Zebrina GF,2015-04-28,2015-10-17,2015-10-25,0,,,,,,,,172,8
Arusha,T1608,,IITA 02145/1320,,,cv-Rose,2015-04-30,2016-01-22,2016-02-01,9,9,8,2016-02-01,,,2016-04-01,5,267,10
Arusha,T1610,,IITA 02145/1320,,,Zebrina GF,2015-05-01,2016-01-27,2016-02-01,38,38,31,2016-02-01,,,2016-04-01,25,271,5
Arusha,T1611,,Kisukari Mchare,,,Borneo,2015-05-01,2015-10-23,2015-11-03,0,,,,,,,,175,11
Arusha,T1612,,Nakitengwa,,,Paliama,2015-05-01,2015-10-17,2015-10-25,0,,,,,,,,169,8
Arusha,T1613,,Mlali,,,Calcutta 4,2015-05-02,2015-09-23,2015-10-02,9,9,5,2015-10-02,,,2015-12-01,0,144,9
Arusha,T1615,,Nakitengwa,,,Guyod,2015-05-04,2015-10-23,2015-11-03,0,,,,,,,,172,11
Arusha,T1616,,IITA 02145/1320,,,Zebrina GF,2015-05-05,2016-02-24,2016-03-03,0,,,,,,,,295,8
Arusha,T1617,,Kisukari Mchare,,,Borneo,2015-05-06,2015-11-04,2015-11-12,0,,,,,,,,182,8
Arusha,T1618,,Datil,,,Malaccensis,2015-05-08,2015-10-17,2015-10-25,14,10,5,2015-10-29,,,2015-11-28,0,162,8
Arusha,T1620,,Pahang,,,Guyod,2015-05-11,2015-11-25,2015-12-07,0,,,,,,,,198,12
Arusha,T1629,,Pahang,,,Guyod,2015-05-18,2015-11-04,2015-11-12,0,,,,,,,,170,8
Arusha,T1635,,Kisukari Mchare,,,cv-Rose,2015-05-22,2015-11-04,2015-11-12,0,,,,,,,,166,8
Arusha,T1637,,Waimara,,,Malaccensis,2015-05-25,2015-10-23,2015-11-06,28,17,8,2015-11-09,,,2016-01-08,0,151,14
Arusha,T1639,,IITA 02145/1320,,,Zebrina GF,2015-05-25,2016-02-11,2016-02-19,4,4,3,2016-02-24,,,2016-04-24,2,262,8
Arusha,T1641,,IITA 02145/1320,,,cv-Rose,2015-05-27,2016-03-10,2016-03-17,0,,,,,,,,288,7
Arusha,T1642,,IITA 02145/1320,,,cv-Rose,2015-05-28,2016-02-11,2016-02-19,11,5,3,2016-02-24,,,2016-04-24,2,259,8
Arusha,T1643,,cv-Rose,,,Paliama,2015-05-28,2015-11-04,2015-11-12,0,,,,,,,,160,8
Arusha,T1644,,IITA 02145/1320,,,Paliama,2015-05-28,2016-03-14,2016-03-21,0,,,,,,,,291,7
Arusha,T1645,,Yenai,,,Truncata,2015-05-29,2015-10-12,2015-10-20,0,,,,,,,,136,8
Arusha,T1646,,TMB2x 9128-3,,,Paliama,2015-06-01,2015-11-11,2015-11-19,0,,,,,,,,163,8
Arusha,T1647,,IITA 02145/1320,,,cv-Rose,2015-06-03,2016-03-03,2016-03-10,6,3,3,2016-03-11,,,2016-05-10,2,274,7
Arusha,T1648,,Ilalyi,,,Borneo,2015-06-03,2015-10-23,2015-11-03,2,2,1,2015-11-04,,,2016-01-03,0,142,11
Arusha,T1649,,IITA 02145/1320,,,cv-Rose,2015-06-05,2016-03-10,2016-03-17,0,,,,,,,,279,7
Arusha,T1650,,Nshonowa,,,Borneo,2015-06-05,2015-10-23,2015-11-06,0,,,,,,,,140,14
Arusha,T1651,,Nakitengwa,,,Paliama,2015-06-09,2015-11-25,2015-12-07,0,,,,,,,,169,12
Arusha,T1652,,Kisukari Mchare,,,SH3142,2015-06-09,2015-11-04,2015-11-12,0,,,,,,,,148,8
Arusha,T1653,,SH3142,,,Paliama,2015-06-10,2015-12-22,2016-01-07,100,2,2,2016-01-08,,,2016-03-08,0,195,16
Arusha,T1654,,Tjau Lagada,,,Guyod,2015-06-10,2016-03-14,2016-03-21,0,,,,,,,,278,7
Arusha,T1656,,Nshonowa,,,Calcutta 4,2015-06-11,2015-11-11,2015-11-19,0,,,,,,,,153,8
Arusha,T1657,,Kisukari Mchare,,,Borneo,2015-06-11,2015-11-04,2015-11-12,0,,,,,,,,146,8
Arusha,T1658,,Kisukari Mchare,,,Borneo,2015-06-12,2015-11-11,2015-11-19,0,,,,,,,,152,8
Arusha,T1661,,Kisukari Mchare,,,Calcutta 4,2015-06-16,2015-11-11,2015-11-19,0,,,,,,,,148,8
Arusha,T1664,,Pahang,,,Guyod,2015-06-19,2015-12-03,2015-12-10,5,28,28,2015-12-15,,,2016-02-13,24,167,7
Arusha,T1665,,IITA 02145/1320,,,cv-Rose,2015-06-19,2016-03-03,2016-03-10,4,2,2,2016-03-11,,,2016-05-10,2,258,7
Arusha,T1666,,Kwaro,,,Zebrina GF,2015-06-24,2015-10-23,2015-11-03,0,,,,,,,,121,11
Arusha,T1667,,Yenai,,,Malaccensis,2015-06-24,2015-10-12,2015-10-20,6,6,0,2015-10-22,,,2015-12-21,0,110,8
Arusha,T1668,,Kisukari Mchare,,,Calcutta 4,2015-06-26,2015-12-02,2015-12-10,0,,,,,,,,159,8
Arusha,T1669,,Pahang,,,Guyod,2015-06-27,2015-11-04,2015-11-12,0,,,,,,,,130,8
Arusha,T1670,,Nshonowa,,,Borneo,2015-06-27,2015-11-11,2015-11-19,0,,,,,,,,137,8
Arusha,T1671,,Kisukari Mchare,,,Calcutta 4,2015-06-27,2015-12-03,2015-12-10,0,,,,,,,,159,7
Arusha,T1672,,Kisukari Mchare,,,Borneo,2015-06-27,2015-11-04,2015-11-12,0,,,,,,,,130,8
Arusha,T1674,,Akondro mainty,,,Calcutta 4,2015-06-29,2015-12-22,2016-01-07,1,1,1,2016-01-08,,,2016-03-08,1,176,16
Arusha,T1675,,Nshonowa,,,Calcutta 4,2015-06-30,2015-11-11,2015-11-19,0,,,,,,,,134,8
Arusha,T1677,,Nshonowa,,,Borneo,2015-07-01,2015-11-11,2015-11-19,6,0,0,2015-11-20,,,2016-01-19,0,133,8
Arusha,T1679,,Kisukari Mchare,,,SH3142,2015-07-02,2015-11-11,2015-11-19,0,,,,,,,,132,8
Arusha,T1680,,Huti-white,,,Borneo,2015-07-02,2015-12-22,2016-01-07,1,0,0,2016-01-08,,,2016-03-08,0,173,16
Arusha,T1681,,Nshonowa,,,Borneo,2015-07-03,2015-11-11,2015-11-19,0,,,,,,,,131,8
Arusha,T1682,,Kisukari Mchare,,,Calcutta 4,2015-07-03,2015-12-02,2015-12-10,0,,,,,,,,152,8
Arusha,T1684,,Yenai,,,Malaccensis,2015-07-04,2015-10-23,2015-11-06,8,5,2,2015-11-09,,,2016-01-08,0,111,14
Arusha,T1685,,Kisukari Mchare,,,Calcutta 4,2015-07-06,2015-12-02,2015-12-10,0,,,,,,,,149,8
Arusha,T1687,,Huti-white,,,Calcutta 4,2015-07-06,2015-12-22,2016-01-07,9,9,9,2016-01-08,,,2016-03-08,1,169,16
Arusha,T1688,,IITA 02145/1320,,,cv-Rose,2015-07-06,2016-03-10,2016-03-17,0,,,,,,,,248,7
Arusha,T1689,,TMB2x 9128-3,,,Paliama,2015-07-07,2015-10-17,2015-10-25,0,,,,,,,,102,8
Arusha,T1691,,IITA 02145/1320,,,Zebrina GF,2015-07-08,2016-03-14,2016-03-21,0,,,,,,,,250,7
Arusha,T1692,,Nshonowa,,,Calcutta 4,2015-07-08,2015-12-02,2015-12-10,0,,,,,,,,147,8
Arusha,T1698,,cv-Rose,,,Guyod,2015-07-14,2016-02-10,2016-02-19,0,,,,,,,,211,9
Arusha,T1700,,Akondro mainty,,,Borneo,2015-07-14,2016-01-13,2016-01-26,0,,,,,,,,183,13
Arusha,T1706,,Nshonowa,,,Borneo,2015-07-20,2015-12-02,2015-12-10,0,,,,,,,,135,8
Arusha,T1707,,Akondro mainty,,,Calcutta 4,2015-07-20,2015-12-22,2016-01-07,0,,,,,,,,155,16
Arusha,T1708,,Akondro mainty,,,Borneo,2015-07-20,2015-12-15,2015-12-22,0,,,,,,,,148,7
Arusha,T1712,,Pahang,,,Guyod,2015-07-27,2015-12-03,2015-12-10,0,,,,,,,,129,7
Arusha,T1713,,Kisukari Mchare,,,Borneo,2015-07-27,2016-01-11,2016-01-20,0,,,,,,,,168,9
Arusha,T1714,,Akondro mainty,,,Calcutta 4,2015-07-27,2016-01-13,2016-01-26,0,,,,,,,,170,13
Arusha,T1716,,Akondro mainty,,,cv-Rose,2015-07-28,2016-01-13,2016-01-26,0,,,,,,,,169,13
Arusha,T1719,,cv-Rose,,,Paliama,2015-08-03,2016-01-26,2016-02-01,0,,,,,,,,176,6
Arusha,T1720,,cv-Rose,,,Guyod,2015-08-03,2016-03-29,2016-04-06,0,,,,,,,,239,8
Arusha,T1722,,Kisukari Mchare,,,Borneo,2015-08-03,2015-12-15,2015-12-22,0,,,,,,,,134,7
Arusha,T1723,,IITA 02145/1320,,,cv-Rose,2015-08-04,2016-02-24,2016-03-03,0,,,,,,,,204,8
Arusha,T1724,,Akondro mainty,,,Calcutta 4,2015-08-04,2016-01-13,2016-01-26,4,3,3,2016-01-29,,,2016-03-29,1,162,13
Arusha,T1725,,Akondro mainty,,,cv-Rose,2015-08-04,2016-01-11,2016-01-20,0,,,,,,,,160,9
Arusha,T1726,,cv-Rose,,,Paliama,2015-08-05,2016-02-10,2016-02-19,0,,,,,,,,189,9
Arusha,T1730,,Nshonowa,,,Borneo,2015-08-10,2015-12-22,2016-01-07,0,,,,,,,,134,16
Arusha,T1733,,cv-Rose,,,Guyod,2015-08-10,2015-12-02,2015-12-10,0,,,,,,,,114,8
Arusha,T1734,,cv-Rose,,,Paliama,2015-08-10,2016-01-13,2016-01-26,0,,,,,,,,156,13
Arusha,T1739,,Tjau Lagada,,,cv-Rose,2015-08-15,2016-03-10,2016-03-17,0,,,,,,,,208,7
Arusha,T1742,,Guyod,,,Paliama,2015-08-17,2016-01-13,2016-01-26,0,,,,,,,,149,13
Arusha,T1745,,Kisukari Mchare,,,Borneo,2015-08-17,2016-01-13,2016-01-26,0,,,,,,,,149,13
Arusha,T1747,,Akondro mainty,,,cv-Rose,2015-08-20,2016-02-24,2016-03-03,0,,,,,,,,188,8
Arusha,T1751,,Kisukari Mchare,,,Calcutta 4,2015-08-24,2016-01-11,2016-01-20,0,,,,,,,,140,9
Arusha,T1752,,Akondro mainty,,,Borneo,2015-08-24,2016-02-10,2016-02-19,0,,,,,,,,170,9
Arusha,T1753,,Huti-white,,,cv-Rose,2015-08-25,2016-02-10,2016-02-19,2,1,1,2016-02-25,,,2016-04-25,0,169,9
Arusha,T1755,,Kisukari Mchare,,,Calcutta 4,2015-08-25,2016-01-13,2016-01-26,0,,,,,,,,141,13
Arusha,T1758,,Akondro mainty,,,Borneo,2015-08-28,2016-01-13,2016-01-26,2,0,1,2016-02-29,,,2016-04-29,0,138,13
Arusha,T1759,,Kisukari Mchare,,,Borneo,2015-08-31,2016-01-11,2016-01-20,0,,,,,,,,133,9
Arusha,T1760,,Kisukari Mchare,,,Borneo,2015-08-31,2016-02-10,2016-02-19,0,,,,,,,,163,9
Arusha,T1761,,Kisukari Mchare,,,Calcutta 4,2015-08-31,2016-01-20,2016-01-26,0,,,,,,,,142,6
Arusha,T1764,,cv-Rose,,,Paliama,2015-08-31,2016-02-24,2016-03-03,0,,,,,,,,177,8
Arusha,T1768,,Huti-white,,,Borneo,2015-09-01,2016-02-03,2016-02-11,18,15,17,2016-02-17,,,2016-04-17,9,155,8
Arusha,T1773,,Nshonowa,,,Calcutta 4,2015-09-02,2016-01-13,2016-01-26,0,,,,,,,,133,13
Arusha,T1775,,IITA 02145/1320,,,cv-Rose,2015-09-07,2016-03-14,2016-03-21,0,,,,,,,,189,7
Arusha,T1779,,Huti-white,,,Calcutta 4,2015-09-08,2016-02-10,2016-02-19,0,,,,,,,,155,9
Arusha,T1781,,Akondro mainty,,,Calcutta 4,2015-09-10,2016-02-24,2016-03-03,0,,,,,,,,167,8
Arusha,T1782,,Kisukari Mchare,,,Calcutta 4,2015-09-14,2016-03-14,2016-03-21,0,,,,,,,,182,7
Arusha,T1784,,Kisukari Mchare,,,Borneo,2015-09-14,2016-02-10,2016-02-19,0,,,,,,,,149,9
Arusha,T1785,,Akondro mainty,,,cv-Rose,2015-09-14,2016-03-10,2016-03-17,0,,,,,,,,178,7
Arusha,T1786,,Akondro mainty,,,Calcutta 4,2015-09-14,2016-03-14,2016-03-21,0,,,,,,,,182,7
Arusha,T1790,,Akondro mainty,,,Borneo,2015-09-14,2016-02-18,2016-02-24,1,0,0,2016-02-25,,,2016-04-25,0,157,6
Arusha,T1791,,Kwaro,,,Malaccensis,2015-09-15,2016-03-10,2016-03-17,0,,,,,,,,177,7
Arusha,T1792,,Nshonowa,,,Borneo,2015-09-16,2016-02-04,2016-02-11,0,,,,,,,,141,7
Arusha,T1794,,cv-Rose,,,Huti - White,2015-09-16,2016-02-10,2016-02-19,0,,,,,,,,147,9
Arusha,T1801,,Kisukari Mchare,,,Calcutta 4,2015-09-21,2016-02-17,2016-02-23,0,,,,,,,,149,6
Arusha,T1802,,Nshonowa,,,Calcutta 4,2015-09-22,2016-02-04,2016-02-11,0,,,,,,,,135,7
Arusha,T1803,,Mchare Laini,,,cv-Rose,2015-09-22,2016-02-04,2016-02-11,0,,,,,,,,135,7
Arusha,T1805,,Nshonowa,,,Borneo,2015-09-25,2016-02-10,2016-02-19,0,,,,,,,,138,9
Arusha,T1806,,Huti-white,,,cv-Rose,2015-09-25,2016-02-24,2016-03-03,0,,,,,,,,152,8
Arusha,T1810,,Kisukari Mchare,,,Calcutta 4,2015-09-28,2016-02-17,2016-02-23,0,,,,,,,,142,6
Arusha,T1813,,Kisukari Mchare,,,Borneo,2015-09-28,2016-02-10,2016-02-19,0,,,,,,,,135,9
Arusha,T1814,,Kisukari Mchare,,,Borneo,2015-09-28,2016-02-24,2016-03-03,0,,,,,,,,149,8
Arusha,T1817,,Huti-white,,,cv-Rose,2015-09-28,2016-03-03,2016-03-10,0,,,,,,,,157,7
Arusha,T1819,,Akondro mainty,,,Calcutta 4,2015-09-29,2016-02-17,2016-02-23,0,,,,,,,,141,6
Arusha,T1821,,Guyod,,,cv-Rose,2015-09-29,2016-03-10,2016-03-17,0,,,,,,,,163,7
Arusha,T1822,,Akondro mainty,,,cv-Rose,2015-10-02,2016-03-14,2016-03-21,0,,,,,,,,164,7
Arusha,T1823,,Akondro mainty,,,Calcutta 4,2015-10-02,2016-02-24,2016-03-03,0,,,,,,,,145,8
Arusha,T1824,,Akondro mainty,,,Borneo,2015-10-02,2016-02-10,2016-02-19,0,,,,,,,,131,9
Arusha,T1826,,Huti-white,,,Calcutta 4,2015-10-02,2016-03-03,2016-03-10,1,1,1,2016-03-11,,,2016-05-10,1,153,7
Arusha,T1829,,Akondro mainty,,,cv-Rose,2015-10-05,2016-03-14,2016-03-21,0,,,,,,,,161,7
Arusha,T1830,,Kisukari Mchare,,,Borneo,2015-10-05,2016-02-10,2016-02-19,0,,,,,,,,128,9
Arusha,T1833,,Nshonowa,,,Borneo,2015-10-06,2016-02-10,2016-02-18,15,6,4,2016-02-19,,,2016-04-19,1,127,8
Arusha,T1834,,Nshonowa,,,Borneo,2015-10-07,2016-02-10,2016-02-19,0,,,,,,,,126,9
Arusha,T1835,,Kisukari Mchare,,,Borneo,2015-10-07,2016-03-14,2016-03-21,0,,,,,,,,159,7
Arusha,T1836,,Kisukari Mchare,,,Calcutta 4,2015-10-07,2016-02-24,2016-03-03,0,,,,,,,,140,8
Arusha,T1838,,Akondro mainty,,,Calcutta 4,2015-10-07,2016-03-10,2016-03-17,0,,,,,,,,155,7
Arusha,T1841,,Akondro mainty,,,Borneo,2015-10-08,2016-02-18,2016-02-24,2,0,0,2016-02-25,,,2016-04-25,0,133,6
Arusha,T1842,,Huti-white,,,cv-Rose,2015-10-09,2016-03-03,2016-03-10,49,23,23,2016-03-11,,,2016-05-10,22,146,7
Arusha,T1844,,Kisukari Mchare,,,Borneo,2015-10-12,2016-02-17,2016-02-23,0,,,,,,,,128,6
Arusha,T1845,,Akondro mainty,,,Calcutta 4,2015-10-12,2016-03-14,2016-03-21,0,,,,,,,,154,7
Arusha,T1846,,Kisukari Mchare,,,Calcutta 4,2015-10-14,2016-02-24,2016-03-03,0,,,,,,,,133,8
Arusha,T1849,,Kisukari Mchare,,,Calcutta 4,2015-10-15,2016-03-10,2016-03-17,0,,,,,,,,147,7
Arusha,T1850,,Kisukari Mchare,,,Borneo,2015-10-15,2016-03-29,2016-04-06,0,,,,,,,,166,8
Arusha,T1851,,Kisukari Mchare,,,Calcutta 4,2015-10-15,2016-03-14,2016-03-21,0,,,,,,,,151,7
Arusha,T1852,,Huti-white,,,Calcutta 4,2015-10-16,2016-02-10,2016-02-19,0,,,,,,,,117,9
